,product_title,lowest_price,montly_sales,original_price,discount_rate,star,ratings,total_sales,favorites,brand,weight,warranty,capacity,stock,power
52,LOPOL 1.8L !!! Electric 2 Layer Non Stick Rice Cooker Steamboat Fry Steamer Cooker with Tray,18.5,74,0.0,0,4.7,930.0,2000.0,674,Others,0.0,0,0.0,3463,0
53,SHARP Rice Cooker (Non-Stick) Periuk Nasi - 1L /1.8L/2.2L/2.8L/4.5L,89.0,68,0.0,0,5.0,463.0,732.0,387,Others,0.0,0,0.0,44,0
54,Toshiba/Midea  Rice Cooker With Computer RC-18DH1NMY (1.8L)/ RC-10DH1NMY (1.0L)/ MB-FS17 (1.7L),159.74,66,0.0,45,4.9,1200.0,2000.0,1100,Toshiba,0.0,0,0.0,1320,0
55,"10A/15A/20A 250V Thermal Fuse 185°c, 200°c, 216°c, 230°c Thermalfuse Rice Cooker",3.2,63,0.0,0,5.0,99.0,491.0,30,Others,0.0,0,0.0,168,0
56,READY STOCK😍 HERMAN 22CM Electric Multicooker Non Stick Rice Cooker Food Mini Hot Pot periuk nasi elektrik,39.4,46,0.0,0,4.9,3700.0,6500.0,5400,Others,0.0,0,0.0,74,0
57,KONKA Multifunctional Mini Electric Cooker With Steamed Egg Rack 1.5L [KZG-15YX301],58.2,62,130.1,55,5.0,43.0,633.0,238,Konka,0.0,12,1.5,98,600
58,[Pensonic/Midea] (1.0L/1.8L) Conventional Rice Cooker with Glass Lid | MG-GP10B MGGP10B PRC-11E PRC-18E (Periuk Nasi 电饭锅,59.88,61,0.0,33,4.9,806.0,1300.0,620,Pensonic,0.0,12,0.0,649,0
59,~SHIP FROM KL~ 1.8 L Electric Pot / Mini Rice Cooker with steamer New Version Ceramic Coating Non-Sticky mini cooker,24.0,61,24.9,4,4.8,778.0,1800.0,693,Others,0.0,0,0.0,457,0
60,Multi-function 1.8L Electric Mini Cooking Pot Steamer With Inner Non-Stick Inner Pot Rice Cooker Multi Cooker/不粘锅多功能锅,23.99,60,38.0,37,4.8,169.0,328.0,189,Others,0.0,0,0.0,21,0
61,《 𝗠'𝗦𝗜𝗔 𝗩𝗘𝗥𝗦𝗜𝗢𝗡 》 Non Stick Multifunctional Cooker 1.8L Electric Rice Soup Steamboat Cooking Pot Periuk Nasi Elektrik 火锅,5.18,59,0.0,84,4.9,1800.0,3600.0,1200,Others,0.0,0,0.0,1563,0
62,【HOMAX】Electric Grill Pan NonStick Ceramic Electric Cooker Mini Rice Cooker Multi Cooker Mini Steamboat 电煮锅,36.8,59,0.0,77,5.0,32.0,106.0,47,Others,0.0,0,0.0,83,0
63,Russell Taylors Dual Pot Pressure Cooker Rice Cooker 2 Pots + Steam (6L) PC-60,229.99,57,249.99,8,4.8,8200.0,13400.0,6700,Russell Taylors,0.0,24,6.0,1602,1000
64,【ORIGINAL】 SMART RICE COOKER 5L Soup Timer,109.0,57,238.0,54,4.9,519.0,790.0,406,Others,0.0,12,0.0,87,0
65,Rice Cooker Thermal Fuse 250V 10A 85°~250° 85/90/95/130/139/142/145/152/165/169/175/179/180/185/192/210/216/225/240/250,1.4,57,0.0,0,5.0,93.0,562.0,33,Others,0.0,0,0.0,762,0
66,HERMAN😍 1.8L Non Stick Multi function Electric Cooker /Rice Cooker /Steamer Frying Pan /Portable Pot /Periuk Nasi Mee,20.32,55,0.0,13,4.9,1200.0,2200.0,741,Others,0.0,0,0.0,0,0
67,MMX Pressure Cooker Stainless Steel Pot Rice Cooker Rendang (6L) 12 Functions Ewant Pro MMXYBD6-100A,188.88,54,999.0,83,4.9,2400.0,3500.0,1900,Kelen Munoz MMX,5000.0,1,6.0,209,1000
68,DA35 Electric Multi Rice Cooker Mini Hot Pot Periuk Nasi Elektrik Masak Frying Grill Pengukus Steamer Multifunction,18.7,54,49.9,63,5.0,148.0,334.0,587,Others,0.0,0,0.0,766,0
69,RENODAPUR GH32POT 22cm/26cm 2 in 1 Electric Multi Cooker Steam Tray Nonstick Frying Pan Steamer Rice Cooker frying pan,26.99,53,0.0,0,4.9,308.0,634.0,486,Others,0.0,0,0.0,310,0
70,Electric Multi Function Mini Cooker 2in1Pot DE100 Steamer Hotpot Rice Cooker Periuk Nasi Malaysia Plug,25.88,42,0.0,65,4.9,137.0,254.0,299,Others,0.0,0,0.0,70,0
71,Malaysia Plug 4L 3-5 persons Electric NonStick Ceramic Grill Frying Pan Rice Multi Function Cooker,55.9,53,99.9,44,4.9,96.0,182.0,274,Others,0.0,0,0.0,16,0
