,star,ratings(amount),total_sales,favorites,brand,weight,warranty,capacity,stock,power
161,5.0,292,498,Favorite (169),Pentec,2.3kg,12 Months,1L,187,400W
162,4.9,61,108,Favorite (31),Midea,,,,96,
163,4.9,46,88,Favorite (43),Sharp,,,,266,
164,,,,,,,,,,
165,5.0,198,512,Favorite (108),,,,,47,
166,5.0,2,5,Favorite (15),Joyoung 九阳,,12 Months,,18,
167,4.8,57,87,Favorite (38),Khind,3.1kg,3 Years,1L,3,450W
168,4.9,94,1.3k,Favorite (573),Konka,,,,88,
169,4.9,2.7k,4.7k,Favorite (4k),,,,,834,
170,4.8,33,55,Favorite (44),,,,,10,
171,4.9,9,16,Favorite (11),,,,,9,
172,3.0,1,5,Favorite (69),Toshiba,,,,59,
173,4.9,553,1k,Favorite (858),Kelen Munoz MMX,,1 Year,,246,
174,4.9,277,553,Favorite (775),Bear,,,,530,
175,4.9,167,284,Favorite (187),Tefal,,,,42,
176,5.0,297,500,Favorite (197),Midea,,,,349,
177,5.0,222,354,Favorite (419),Tefal,2.2kg,24 Months,0.4L,22,200W
178,4.9,137,233,Favorite (114),,,,,183,
179,4.9,1.1k,2k,Favorite (601),Milux,,12 Months,0.3L,528,200W
180,4.8,48,341,Favorite (10),,,,,472,
181,5.0,6,20,Favorite (1),,,,,194,
182,5.0,22,106,Favorite (16),,,,,126,
183,4.8,1.9k,3.8k,Favorite (2.8k),,,,,25,
184,4.9,286,436,Favorite (1.7k),Midea,,,,13,
185,4.9,652,1.4k,Favorite (469),,,,,191,
186,4.8,663,1.5k,Favorite (351),,,,,3521,
187,4.8,843,1.7k,Favorite (942),,,,,27,
188,4.9,56,130,Favorite (200),Xiaomi,4.4kg,3 Months,3L,455,650W
189,5.0,245,440,Favorite (189),Midea,,,,14,
190,4.8,315,607,Favorite (185),,,,,419,
191,4.9,298,539,Favorite (56),Toshiba,,,,196,
192,4.9,172,290,Favorite (406),Midea,,,,5,
193,5.0,99,142,Favorite (230),Cuckoo,,,,34,
194,4.9,509,829,Favorite (520),Khind,,12 Months,,254,
195,4.9,59,102,Favorite (65),Bear,,2 Years,,568,
196,4.9,33,62,Favorite (46),,1kg,,,206,450W
197,5.0,10,25,Favorite (18),,3kg,,3L,196,501W
198,4.9,499,816,Favorite (1.2k),,,,,19,
199,4.9,447,838,Favorite (474),Elba,4kg,12 Months,1.2L,144,300W
200,4.9,170,287,Favorite (128),Pensonic,,12 Months,1L,8,400W
201,4.9,43,99,Favorite (44),,,,,102,
202,4.9,110,180,Favorite (68),Sharp,,12 Months,1.8L,13,700W
203,5.0,22,49,Favorite (67),,,,,100,
204,5.0,2,16,Favorite (2),,,,,198,
205,5.0,3,16,Favorite (1),,2kg,,3L,400,501W
206,4.9,259,425,Favorite (270),Kelen Munoz MMX,,,,76,
207,4.9,1.9k,3.3k,Favorite (3.2k),,500g,No Warranty,1.2L,848,
208,5.0,37,62,Favorite (68),Toshiba,,,,38,
209,4.9,124,243,Favorite (550),,1.95kg,12 Months,3L,89,1000W
